frm_class;frm_snr;frm_nobs;depth_from;depth_to;tsw;variable;network;station;instrument;tsw;lon;lat;idx
not representative;-11.870409;4813;0.1;0.1;bulk;soil_moisture;ARM;Byron;Hydraprobe-II-Sdi-12-S;bulk;-98.285;36.881;86
undeducible;-13.462671;4292;0.1;0.1;bulk;soil_moisture;ARM;Byron;Hydraprobe-II-Sdi-12-W;bulk;-98.285;36.881;87
representative;2.7713077;8527;0.05;0.05;bulk;soil_moisture;ARM;Coldwater;Water-Matric-Potential-Sensor-229L-E;bulk;-99.309;37.333;88
representative;2.8770475;8546;0.05;0.05;bulk;soil_moisture;ARM;Coldwater;Water-Matric-Potential-Sensor-229L-W;bulk;-99.309;37.333;89
representative;0.68315035;10683;0.05;0.05;bulk;soil_moisture;ARM;Cordell;Water-Matric-Potential-Sensor-229L-E;bulk;-98.977;35.354;90
representative;1.0084944;10707;0.05;0.05;bulk;soil_moisture;ARM;Cordell;Water-Matric-Potential-Sensor-229L-W;bulk;-98.977;35.354;91
representative;1.749947;8740;0.05;0.05;bulk;soil_moisture;ARM;Cyril;Water-Matric-Potential-Sensor-229L-E;bulk;-98.205;34.883;92
representative;2.101711;5604;0.05;0.05;bulk;soil_moisture;ARM;Cyril;Water-Matric-Potential-Sensor-229L-W;bulk;-98.205;34.883;93
undeducible;;63;0.05;0.05;bulk;soil_moisture;ARM;Earlsboro;Water-Matric-Potential-Sensor-229L-E;bulk;-96.74;35.269;94
undeducible;-2.4119508;2992;0.05;0.05;bulk;soil_moisture;ARM;Earlsboro;Water-Matric-Potential-Sensor-229L-W;bulk;-96.74;35.269;95
representative;1.3050023;8029;0.05;0.05;bulk;soil_moisture;ARM;ElReno;Water-Matric-Potential-Sensor-229L-E;bulk;-98.017;35.557;96
not representative;-2.2861896;6630;0.05;0.05;bulk;soil_moisture;ARM;ElReno;Water-Matric-Potential-Sensor-229L-W;bulk;-98.017;35.557;97
very representative;4.1380286;11618;0.05;0.05;bulk;soil_moisture;ARM;ElkFalls;Water-Matric-Potential-Sensor-229L-E;bulk;-96.18;37.383;98
very representative;4.038057;11907;0.05;0.05;bulk;soil_moisture;ARM;ElkFalls;Water-Matric-Potential-Sensor-229L-W;bulk;-96.18;37.383;99
representative;2.8371475;7332;0.05;0.05;bulk;soil_moisture;ARM;Halstead;Water-Matric-Potential-Sensor-229L-E;bulk;-97.513;38.114;100
very representative;3.7937849;9569;0.05;0.05;bulk;soil_moisture;ARM;Halstead;Water-Matric-Potential-Sensor-229L-W;bulk;-97.513;38.114;101
representative;2.0059285;9713;0.05;0.05;bulk;soil_moisture;ARM;Hillsboro;Water-Matric-Potential-Sensor-229L-E;bulk;-97.301;38.306;102
representative;0.98812884;9688;0.05;0.05;bulk;soil_moisture;ARM;Hillsboro;Water-Matric-Potential-Sensor-229L-W;bulk;-97.301;38.306;103
very representative;4.55509;7288;0.05;0.05;bulk;soil_moisture;ARM;Lamont-CF1;Hydraprobe-II-Sdi-12-E;bulk;-97.485;36.605;104
very representative;4.048126;7286;0.05;0.05;bulk;soil_moisture;ARM;Lamont-CF1;Hydraprobe-II-Sdi-12-S;bulk;-97.485;36.605;105
very representative;3.8205874;7278;0.05;0.05;bulk;soil_moisture;ARM;Lamont-CF1;Hydraprobe-II-Sdi-12-W;bulk;-97.485;36.605;106
very representative;3.6089025;13927;0.05;0.05;bulk;soil_moisture;ARM;Lamont-CF1;Water-Matric-Potential-Sensor-229L-E;bulk;-97.485;36.605;107
not representative;-1.1764572;13914;0.05;0.05;bulk;soil_moisture;ARM;Lamont-CF1;Water-Matric-Potential-Sensor-229L-W;bulk;-97.485;36.605;108
representative;1.8725886;7287;0.1;0.1;bulk;soil_moisture;ARM;Lamont-CF1;Hydraprobe-II-Sdi-12-E;bulk;-97.485;36.605;109
not representative;-3.6355822;7230;0.1;0.1;bulk;soil_moisture;ARM;Lamont-CF1;Hydraprobe-II-Sdi-12-S;bulk;-97.485;36.605;110
very representative;3.4224288;7278;0.1;0.1;bulk;soil_moisture;ARM;Lamont-CF1;Hydraprobe-II-Sdi-12-W;bulk;-97.485;36.605;111
representative;0.5822564;4979;0.025;0.025;bulk;soil_moisture;ARM;Lamont-CF2;SMP1-A;bulk;-97.488;36.607;112
not representative;-2.8596869;4612;0.025;0.025;bulk;soil_moisture;ARM;Lamont-CF2;SMP1-B;bulk;-97.488;36.607;113
representative;1.6358846;4676;0.025;0.025;bulk;soil_moisture;ARM;Lamont-CF2;SMP1-C;bulk;-97.488;36.607;114
